,index,Date,Open,Close,High,Low,Volume,sma7,sma25,sma99,bb_sma,bb_ub,bb_lb,psar,RSI,twap
36073,36173,2020-01-13 20:00:00,8105.0,8145.2,8159.9,8103.6,0.24136384363,8095.046341428571,8103.5848022668,8033.494494954241,8095.1141236575,8142.977620583965,8047.2506267310355,8057.3754736,59.610986788921856,8121.266666666666
36074,36174,2020-01-13 21:00:00,8145.12447745,8130.0,8149.3,8114.0,0.08073228191,8102.328571428572,8103.8088022668,8036.712676772423,8094.2833256225,8139.01665174986,8049.549999495141,8061.476454656,56.1190358940464,8133.666666666666
36075,36175,2020-01-13 22:00:00,8129.91657706,8110.3,8130.0,8102.3,0.0543318046,8108.542857142857,8104.2528022668,8038.706616166364,8093.9133256225,8137.98328716389,8049.843364081111,8065.41339646976,51.877454579751905,8122.65
36076,36176,2020-01-13 23:00:00,8111.2,8095.8,8130.0,8093.877445,0.03684034352,8109.685714285713,8102.160802266801,8041.492474752223,8093.6883256225,8137.671424608135,8049.7052266368655,8069.19286061097,48.94512043962994,8110.379574166667
36077,36177,2020-01-14 00:00:00,8095.8,8260.6,8297.7,8095.8,0.80032505391,8134.842857142857,8105.5968022668,8046.234898994646,8101.078325622501,8186.018980114764,8016.137671130238,8072.82114618653,69.82295343880925,8162.296240833333
36078,36178,2020-01-14 01:00:00,8260.6,8413.2,8467.9838016,8260.6,1.40826874968,8180.0142857142855,8116.487298926001,8052.33164003505,8117.539365912499,8277.403568472082,7957.675163352917,8086.3138774153385,78.56414994429271,8299.313966933332
36079,36179,2020-01-14 02:00:00,8413.13552394,8415.0,8415.0,8355.6,0.32228776026,8224.3,8127.222660498001,8058.367483819899,8135.534365912499,8338.458277867789,7932.61045395721,8095.8,78.6427354464572,8387.897300266664
36080,36180,2020-01-14 03:00:00,8415.1,8460.0,8468.4,8359.8,0.27500198901,8269.271428571428,8140.914660498001,8064.806877759293,8155.169365912499,8399.62873870416,7910.7099931208395,8125.574704128,80.56136921991413,8412.3
36081,36181,2020-01-14 04:00:00,8460.0,8520.0,8606.1,8454.6,1.92679995401,8324.985714285714,8157.702660498001,8072.100817153231,8175.4217081925,8465.966997354843,7884.876419030157,8159.8572337152,82.78234525590057,8478.149999999998
36082,36182,2020-01-14 05:00:00,8519.91860944,8468.0,8525.0,8450.1,0.37828380984,8376.085714285715,8171.910660498001,8078.801827254242,8193.871895164999,8508.52594172259,7879.217848607408,8213.406365669376,74.80521217234326,8503.966666666665
36083,36183,2020-01-14 06:00:00,8467.7,8489.5918648,8499.2,8458.5,0.14797456812999998,8432.341694971428,8188.135167322001,8085.674472353233,8212.951488405,8549.947495969749,7875.955480840252,8260.52960178905,75.84601714188933,8481.731977466665
36084,36184,2020-01-14 07:00:00,8489.5918648,8497.3,8526.5,8489.5918648,0.15540786704999998,8466.155980685715,8205.823167322,8092.879522858283,8234.29081274,8586.225383251518,7882.356242228483,8301.998049574364,76.22363109807617,8493.447288266667
36085,36185,2020-01-14 08:00:00,8497.2,8499.3,8519.9,8492.0,0.17141626691,8478.455980685714,8223.103167322,8100.526997605757,8255.20081274,8617.777036954947,7892.624588525054,8338.49028362544,76.32704457002558,8504.098644133332
36086,36186,2020-01-14 09:00:00,8499.31516025,8487.9,8539.0,8472.1,0.41266028293,8488.8702664,8238.021041146,8108.020936999697,8275.615812740001,8642.29971302642,7908.931912453584,8370.603449590388,74.34219985215795,8501.699999999997
36087,36187,2020-01-14 10:00:00,8487.89300394,8507.6,8515.9,8463.0,0.15649483341,8495.6702664,8254.365190724,8115.729017807777,8297.04459324,8665.356970608895,7928.732215871104,8398.86303563954,75.52657399536211,8497.583333333332
36088,36188,2020-01-14 11:00:00,8507.6,8509.9421967,8511.0,8497.5,0.07251867882,8494.233437357143,8270.442878592,8123.890050097677,8319.201703075001,8682.729997196251,7955.673408953751,8423.731471362797,75.67037000208904,8500.82369945
36089,36189,2020-01-14 12:00:00,8509.9421967,8487.0,8600.0,8463.0,0.8239250316400001,8496.94772307143,8287.10233806,8131.535504643131,8339.161703075,8693.394844211849,7984.928561938152,8445.61569479926,71.25407496219488,8511.407032783332
36090,36190,2020-01-14 13:00:00,8487.00194253,8569.0,8569.1,8486.7,0.43987325573999997,8508.291742385714,8306.618338060001,8139.580959188586,8363.386703075,8710.846524815199,8015.926881334803,8463.0,76.52712651117326,8529.133333333331
36091,36191,2020-01-14 14:00:00,8569.1,8676.6,8712.6,8549.5,1.20767738962,8533.9060281,8330.49833806,8148.118332925959,8392.366703074998,8742.790881582712,8041.942524567285,8463.0,81.35919864639085,8593.916666666664
36092,36192,2020-01-14 15:00:00,8676.6,8657.71217552,8708.0,8621.0,1.12805067249,8556.53633888857,8353.6458494808,8155.81441550697,8420.002311851,8762.50474532452,8077.499878377479,8486.7,78.31166871630116,8654.235362586664
36093,36193,2020-01-14 16:00:00,8661.5,8651.7,8672.7,8473.0,1.5746908021300001,8579.936338888572,8377.041849480802,8163.793203385757,8445.327311851,8777.55614271048,8113.098480991522,8712.6,77.31886998966218,8630.685362586664
36094,36194,2020-01-14 17:00:00,8651.8,8727.4,8755.0,8640.4,1.60288833704,8611.336338888572,8402.6258494808,8171.501284193839,8475.197311851001,8795.874510938065,8154.520112763938,8473.0,80.64589939517116,8653.366666666665
36095,36195,2020-01-14 18:00:00,8728.4790361,8742.8,8779.0,8631.9,0.93269846451,8644.60173936,8428.9578494808,8178.494213486768,8506.822311851,8800.97454049461,8212.67008320739,8473.0,81.24851065669901,8712.75
